,,
162 miles,,"Originally, this road begun in 312 BC ran only 162 miles from Rome to Tarentum."
,,
163 times,,A group from this city heavily utilized triplet flow in a song that repeats the name“Versace” 163 times.
,,
164 prisoners,,"In 1756, 164 prisoners of Siraj ud-Daulah were imprisoned in an overcrowded dungeon in this city for three days."
,,
165 nm,,"Changing the angle of the detector gave a maximum at 50 degrees, while another component was previously determined to have a plane spacing of 2.15 angstroms on its {111}-face, leading to a wavelength of 165 nm according to Bragg’s Law."
,,
166 French ships,,"Edward II captured 166 of the 200 French ships that showed up to this 1340 battle, the chief naval engagement of the war."
,,
167 members,,"For maintaining a “conspiracy of silence” regarding the murder of a bartender in this city, 167 members of the 25th Infantry Regiment were dishonorably discharged by Theodore Roosevelt, a decision later reversed in 1972."
,,
168 conquistadors,,"Name this 1532 battle in which a force of 168 conquistadors overcame 7,000 of Atahualpa’s men before capturing him in a namesake Peruvian city."
,,
169 repetitions,,Another orchestral composition by this composer includes 169 repetitions of a snare drum ostinato.
,,
170 mph,,Near the Nürburgring in Kelberg is a dead-end stretch of this German highway system where cars routinely clock in at 170 mph.
,,
171 musicians,,The composer's friend Emil Gutman coined the nickname of this symphony after witnessing 858 singers and 171 musicians play the piece at its premiere in Munich.
,,
172 GeV,,The largest of this class of particles has a mass of 172 GeV.
,,
173 wards,,"Divided into 173 wards known as khoroos, it is located on the Tuul River, and is home to the Ikh Kural, its country’s unicameral parliament."
,,
174 GeV,,"With a mass of about 174 GeV, for 10 points, name this heaviest and last-discovered quark, the partner of the bottom quark."
,,
position 175,,Substitutions of an alanine at position 143 or a histidine at position 175 allow this protein to bind to hsp70.
,,
176 deaths,,A suburban uprising where this practice was enacted resulted in 176 deaths of mainly school children after police brutality in (*) Soweto.
,,
177 feet,,Name this contemporary British sculptor of Horizon Field who created a 66-feet tall steel sculpture titled Angel of the North in a country feld outside Gateshead with massive wings spanning 177 feet.
,,
178 people,,"In 2004, 178 people were killed in a bombing in this city targeting people commemorating the Day of Ashura."
,,
179 years of age,,"He conducted the longest filibuster in Senate history in 1957, and died in 2003 at 179 years of age."
,,
180 degrees,,A re·focusing (*) pulse of 180 degrees follows a 90-degree pulse in the spin echo experiment in this technique.
,,
181 black pieces,,"361 intersections of lines create the playing surface, on which 180 white pieces and 181 black pieces are placed."
,,
Air India Flight 182,,The Sikh extremist group Babbar Khalsa bombed Air India Flight 182 as it left this country.
,,
183 sonnets,,"Ronsard’s finest work may be this collection of 183 sonnets, which was originally published in 1552."
,,
184 people,,"Only 184 out of 368,000 people voted against this movement in a referendum that referred to its goal as “already completed”."
,,
185 people,,185 people died in the 2011 earthquake in its city of Christchurch.
,,
186 hostages,,"Putin garnered criticism for his handling of a hostage crisis in this type of place in Beslan, during which gunfire from Russian FSB likely killed 186 hostages."
,,
187 defenders,,"For 15 points, name this colonel of the Alamo who perished with the other 187 defenders."
,,
188 meters,,"Its highest point, Mount Jamanota, is only 188 meters from sea level."
,,
189 BCE,,The territory of Lydia passed from the Seleucid to the Attalid kingdom after this 189 battle.
,,
190 neutrons,,Seaborg hypothesized that nuclei with somewhere around 110 protons and 190 neutrons would have unusually long lifespans.
,,
191 times,,"These organisms go through stages such as L2 and the (*) dauer stage, and apoptosis occurs exactly 191 times in the development of these organisms."
,,
192 men,,"The Festival of Carneia limited the forces of this battle’s winning side, who lost only 192 men in the fight."
,,
193 nations,,One body with this name first met at Westminster Central Hall in 1946 with representation from 51 nations and now meets in Manhattan with 193 nations represented.
,,
194 AD,,"Name this 194 battle fought in Turkey, which was chronicled by Herodian and Cassius Dio and saw the victor’s twelve legions defeat the forces of Pescennius Niger."
,,
195 nations,,"Fiji was the first country in the world to ratify this agreement, named after a European capital, which was agreed by 195 nations in December 2015."
,,
196 sutras,,Patanjali [puh-TUN-juh-lee] wrote 196 sutras on this practice that codified its 8 key elements.
,,
197 CE,,This mess was finally sorted out when Septimius Severus defeated Clodius Albinus in this 197 battle in southeastern France.
,,
198 times,,"A .294 right-handed hitter, this Hall of Famer was hit by a pitch: 198 times, including 20 in his first major league campaign."
,,
199 isotope,,An atom of this metal is bonded to two methyl groups in an extremely toxic compound that poisoned Karen Wetterhahn when she was using the 199 isotope of this element in NMR spectroscopy.
,,
200 Kelvin,,One of these points occurs for the equilibrium between cubic and hexagonal ice around 1000 atmospheres and 200 Kelvin.
,,
201 sources,,A Gamma Knife apparatus uses 201 sources of an isotope of this element in a hemispherical array.
,,
202 people,,"While Ba’asyir received two and a half years in prison for killing 202 people in the Bali attack, this Australian “beauty therapist” received twenty years in May after marijuana was found in her bag at the Denpasar airport."
,,
203 families,,An action that indirectly aided this cause was when 203 families were chosen from the Midwest to settle in the Matanuska Valley due to their familiarity with cold.
,,
204 counts,,That man who led this organization was found guilty of 204 counts of corruption in a trial after being defended by Elihu Root.
,,
205 names,,"McCarthy’s crusade against communist influence was sparked with his 1950 speech in West Virginia, in which he claimed to hold a list of 205 names of Communists in this governmental department."
,,
206 BC,,"Another Hasdrubal, Hasdrubal Gisco, joined with Mago to lose to Scipio Africanus at this 206 battle in Seville, where the outnumbered Romans won a strategic victory."
,,
207 members,,"For 10 points, name this Wisconsin senator who claimed to have found 207 members of the Communist party in the State Department."
,,
208 entries,,"The WHO (“W-H-O”) maintains the most widely-used example of these lists and published the first of them in 1977, with 208 entries including lidocaine and hydrocortisone."
,,
209 isotope,,"In 2003, this metal’s 209 isotope was found to have a longer half-life than the lifespan of the universe, making it the lightest known radioactive element."
,,
210 nanometers,,"These bonds show a weak n-to-pi-star electronic transition between 210 to 230 nanometers, and a strong pi-to-pi-star transition near 190 nanometers called NV1."
,,
211 days,,He served a mere 211 days as Prime Minister in 1922.
,,
212 Fahrenheit,,"This essay points out the absurdity of claiming that mountains were formed from molten rock under the sea, when water boils at 212 Fahrenheit, much lower than the temperature of molten rock."
,,
213 bricks,,This man once mailed 213 bricks to a publisher he was mad at and forced them to pay the postage.
,,
214 lines,,Name this poem which consists of 214 lines of rhymed couplets and which begins “All I could see from where I stood was three long mountains and a wood.”
,,
215 nanometers,,"The particles that comprise these objects were detected by the U·V observatory on the Student Nitric Oxide Explorer at 215 and 237 nanometers, confirming that these are more common in the Northern than Southern Hemisphere."
,,
216 degrees,,A circle with a central angle of 216 degrees subtends an arc measuring 36 pi units long.
,,
217 BCE,,"Hannibal turned around the disastrous crossing of the Alps with this decisive 217 battle, during which Gaius Flaminius walked straight into an ambush and Hannibal effectively executed a turning movement."
,,
Section 218,,"Section 206 of the PATRIOT Act updated this legislation to provide for a “roaming” version of its most famous application, while Section 218 loosened the requirements for a warrant, which is granted by a secret court."
,,
219 miles,,This 1925 tornado that traveled over 219 miles is widely considered to be the deadliest in U.S. history.
,,
220 nanometers,,N–pi-star and pi–pi-star transitions in these bonds give rise to UV absorption peaks between 190 and 220 nanometers.
,,
221 knights,,P. Petronius serves as counsel to defend him of charges of killing 15 senators and 221 knights after he is whisked away across the Campus Martius to (*) Pluto.
,,
222 isotope,,"After the emission of alpha particles, radium-226 becomes this element’s 222 isotope."
,,
223 months,,"The largest gear in the Antikythera mechanism had 223 teeth, indicating its association with the Saros cycle, which predicts the recurrence of these phenomena every 223 months."
,,
224 works,,The first 224 works in this catalogue are all cantatas.
,,
225 enemies,,"During this battle, Major Erwin König was allegedly killed by Vasily Zaytsev, a sniper who killed 225 enemies over the course of this battle."
,,
226 acres,,One leader of this country redistributed chunks of land bigger than 226 acres to the landless as part of the Agrarian Reform Law of 1952.
,,
227 days,,"For 10 points, name this Indian-Canadian character who spends 227 days on a lifeboat with a tiger in a novel titled for the “Life of” him by Yann Martel."
,,
228 massacre,,"After this party perpetrated the 228 massacre, it enacted a period of repression known as the White Terror."
,,
"Index: 1, Gliesse 229 B",,
,,
230 times,,This compound has 230 times the binding affinity to hemoglobin compared to oxygen.
,,
231 Koreans,,Another of these events led to a pogrom in which 231 Koreans were killed for allegedly causing it.
,,
232 isotope,,"Uranium-238 decays into this element’s 234 isotope, while its 232 isotope is used in proposals for non-weaponizable nuclear reactors."
,,
233 miles,,The result runs for 233 miles along the thirty-ninth parallel and settled a dispute between the Calverts and Penns.
,,
"Index: 2, 234 contributors",,
,,
235 isotope,,"For 10 points, name this task that aims to separate the fissile 235 isotope of a certain actinide."
,,
236 miles,,Hjalmar Johansen and Fridtjof Nansen trekked within 236 miles of this location after sailing on board the ship Fram.
,,
237 moves,,"In a novel by this author, Honinbo Shusai loses his “retirement game” after 237 moves."
,,
238 seats,,"This party sponsored a 2013 law banning “gay propaganda”, and it controls 238 of the 450 seats in the State Duma."
,,
239 isotope,,Beta decay of neptunium-239 gives this element’s 239 isotope.
,,
240 times,,He famously argued that productivity could increase 240 times in a pin factory that engaged in specialization and division of labour.
,,
241 engravings,,Name this artist who illustrated the 1872 book London: A Pilgrimage six years after completing a set of 241 engravings for La Grande Bible de Tours.
,,
242 choruses,,This author wrote a book-length jazz poem in 242 “choruses” called Mexico City Blues.
,,
243 days,,"It takes 243 days to turn about its axis, making its day longer than its year, and its rotation is retrograde."
,,
244 paintings,,244 paintings in Leopold Wilhelm’s collection were engraved in this artist’s groundbreaking Theatrum Pictorium.
,,
245 times,,A king walked barefoot from St. Dunstan’s cathedral and was whipped 245 times as penance for this man’s death.
,,
246 varieties,,Charles de Gaulle once asked how one could govern a country with 246 different varieties of this food.
,,
247 studies,,"Tooker’s “anxious” style was frequently compared to the style of this artist, who painted 247 studies of a woman named Helga Testorf."
,,
248 objects,,Max Wolf discovered 248 of these objects by himself.
,,
249 people,,"Other targets were found in the subscriptions lists from the journals Mother Earth and The Blast, and 249 people were eventually deported on the Buford."
,,
250 Water-Lilies,,This French artist also painted Impression: Sunrise and a series of about 250 Water-Lilies.
,,
"Index: 1, 251 million years ago",,
,,
252 men,,252 men drowned in an operation in this country when their gliders were released too early.
,,
253 dialogues,,He wrote a set of 253 dialogues which were translated into English by Thomas Twyne under the title Phisicke Against Fortune.
,,
254 inhabitants,,"This organization’s most famous actions included the killing of all 254 inhabitants of the village of Deir Yassin, as well as the July 22, 1946 killing of 91 people via a bomb."
,,
Verse 255,,"A text named for one of these objects evokes the “Highest and Greatest,” whose creations “grasp nothing of His knowledge but what He wills.” Verse 255 of the Qur’ānic sūrah Al-Baqarah uses this type of object to claim that “the heavens and the earth” fall under Allah’s rule."
,,
256 signs,,"Ikin are objects of this type, which are used to divine by throwing them against the cowrie shell decorated Opon Ifá, and determining which of the 256 signs their pattern displays."
,,
257 people,,"Discovered by Sir Ross in eruption in 1841, it was site of a New Zealand manned plane crash that killed 257 people in 1979."
,,
258 figures,,"That work, made of rubber, features a 230 foot-long boat featuring 258 figures of these people."
,,
259 nm,,This compound has a single absorption peak at 259 nm and gains a peak at 340 meters upon being converted to a related molecule.
,,
260 people,,260 people were killed in this country during three simultaneous suicide bombings on Easter 2019.
,,
261 days,,"Due to a recession which hit the Rust Belt in this state, the desperate men lived on the billboard for 261 days."
,,
Me 262,,Its Me 262 was the world’s first jet fighter.
,,
263 Prinsengracht,,"This story follows the Van (*) Daan family, based on the Van Pels, sharing space with Dr. Düsser and the family of the title character, including Edith and Margot, at 263 Prinsengracht."
,,
264 years,,In one polity they ruled unopposed for 264 years as the Patarenes.
,,
265 years,,A class system without social mobility and almost total isolation led to 265 years of tense peace.
,,
266 men,,"Name these animals, for which a profession existed solely to mark and record wild ones in a process known as “upping.” At a 1306 feast named for these animals, Edward I knighted his son, who knighted 266 other men in turn."
,,
267 days,,"The body designated “f” in this system is likely rocky in composition and orbits its parent in about 267 days at a distance of 0.718 AU, receiving 41% of the sunlight that Earth does."
,,
268 Harvard students,,This study examined some 268 Harvard students for the next 75 years and compared traits like their financial success and rate of alcoholism to Boston inner-city youths tracked in the Gluek Study.
,,
269 people,,"269 people, including Georgia representative Lawrence McDonald, when this flight was attacked west of Sakhalin Island in 1983."
,,
270 degrees,,"Contractile blood vessels under the jaw that form a blood reservoir allow these animals to turn their (*) head 270 degrees in either direction, and these animals also have specially developed serrated feathers that enable silent flight."
,,
position 271,,"A point mutation at position 271 of its receptor’s alpha subunit is responsible for hyperekplexia, and CTB and (*) picrotoxin are antagonists of that receptor."
,,
272 views,,"For 10 points, the detectives Abler and Henson feature in “272 views” of what show in Carmen Maria Machado’s weird fiction story “Especially Heinous”?"
,,
273 degrees,,"On a temperature scale named for this man, the triple point of water is approximately 273 degrees."
,,
274 BC,,Name this series of six conflicts between the Ptolemaic and Seleucid kingdoms which were fought between 274 BC and 168 BC.
,,
275 casualties,,"Its 275 casualties were taken to Colón Cemetery, and the “yellow journalism of the day” seized on the events of February 15, 1898 surrounding it."
,,
276 schoolgirls,,"This group, currently led by Abubakar Shekau, kidnapped 276 schoolgirls from Chibok in April 2014."
,,
277 days,,"For 10 points, name this novel about a boy who drifts on the Pacific Ocean for 277 days after being shipwrecked, a work by Yann Martel."
,,
278 soldiers,,"Unfortunately, only 278 soldiers died, leading William Mahone to quickly counterattacks against Burnside’s troops shortly afterwards."
,,
279 Thule,,"Paradoxically, the same mechanism that appears to explain their existence gives rise to the position of the Plutinos and Twotinos in the Kuiper belt, as well as the Hilda family and 279 Thule."
,,
280 citations,,"Michel Foucault has the highest value for this index, because 280 of his papers have at least 280 citations."
,,
281 BC,,"Prior to Thermopylae, the Celtic invaders captured and executed Ptolemy Keraunos, who had seized the Macedonian throne after Lysimachus died in this 281 battle against Seleucus I."
,,
282 articles,,"One leader of this state created 282 articles detailing ""eye for an eye"" punishments in the first codified law, the Code of Hammurabi."
,,
283 items,,"One set of these objects contained exactly 283 of a certain set of items, pissing off Arthur Blank."
,,
284 bones,,Its last section cites Galen’s description of the six hundred muscles and the 284 bones in the human body to illustrate a certain argument.
,,
285 year old,,"In another play set in this city, Citizen Barlow travels to the metaphorical City of Bones with the help of the (*) 285 year old matriarch Aunt Ester."
,,
286 ayats,,"At 286 ayats, it is itself the longest section of that book."
,,
287 additions,,"287 additions were made to this work after its completion, and Duery Felton, Jr. organized a collection of objects left next to it."
,,
288 Olympic medals,,"Athletes who attended this university have won 288 Olympic medals, the most from any school."
,,
289 days,,The author of this treatise spent 289 days trying to register a business in his home country to argue that it and other nations should develop a system in which information is easily dispersed and assets are made fungible.
,,
290 foot drop,,"Probably the most epic waterfall in Canada is Virginia Falls on the Nahanni River, a 290 foot drop that looks like its blasting away the walls of this mountain range."
,,
291 Gallery,,Works in this art form were showcased in the 291 Gallery.
,,
292 days,,Name this city that was besieged for 292 days following the Overland Campaign.
,,
293 BCE,,A Roman god of this domain was introduced to the city in 293 BCE and honored at a temple on Tiber Island.
,,
294 Kelvin,,"In 2023, a paper claiming to have observed superconductivity at 294 Kelvin in nitrogen-doped lutetium hydride in an environment where this quantity is high was retracted due to allegations of faking data and self-plagiarism by its primary author, Rangas Dias."
,,
296 aphorisms,,"It contains 296 aphorisms, including “If you look long into the abyss, the abyss will also gaze into you.” The narrator asks “What is noble?” and “Supposing that Truth is a woman - what then?” For 10 points, name this work that precedes On the Genealogy of Morals and advocates rising above traditional morality, written by Friedrich Nietzsche."
,,
297 people,,GPS scans revealed that this mountain range grew approximately 4 centimeters during an earthquake in August 2016 that caused the deaths of 297 people.
,,
298 people,,"For 10 points, identify this type of attack that led to the death of 298 people in eastern Ukraine in July 2014."
,,
299 Mya,,"This period, occurred between 299 Mya [M-y-a] and 252 Mya, was the last period of the Paleozoic, and was followed by the Triassic."
,,
300 dollars,,"People could pay 300 dollars to avoid this policy under the Enrollment Act of 1863, which also allowed for hiring substitutes."
,,
301 bridge,,"In case you were wondering, Marshall reports that the U.S. 301 bridge over this river at Sandy Hook “has some fantastic smallmouth water.” It flows through Washington D.C."
,,
302 model,,That example of one of these objects inspired Henry Dreyfuss's 302 model sometimes named for its use on I Love Lucy.
,,
303 people,,303 of these people were sentenced to be hanged following an uprising put down by John Pope.
,,
304 votes,,"This sole Congressman from Alaska was re-elected to a nineteenth term in 2008 despite ethical questions, defeating primary challenger Sean Parnell by 304 votes."
,,
305 nm,,"A spectrophotometer measuring absorption at 305 and 325 nm is used to quantify this substance, whose vertical distribution is determined by the Umkehr method."
,,
306 Group,,Name this man who founded the 306 Group of artists in Harlem and created a series of collages known as The Prevalence of Ritual.
,,
307 members,,"The IJO (I-J-O) used two truck bombs to kill 307 members of the MNF peacekeeping mission in this country, including 241 Americans at a Marine Corps base."
,,
308 vignettes,,"An author from this country wrote about Mabel, who falls in love with a Danish Anarchist while immigrating to a place where she becomes the title “queen of America.” 308 vignettes, covering creation myths, jungle stories, and events through the year 1700, were collected by an author from this country into the book Genesis."
,,
309 opponents,,"The “Green Sprout Act” introduced by this individual was sabotaged by incompetent administration, and after his death, 309 opponents of this man had their names written on stone tablets to indicate their evil, while this man was declared to be the Third Sage."
,,
310 poems,,A poem by this author describes a wanderer amid “ten thousand streams” and “thousands of clouds” who possesses the joy of “depending on nothing.” Another poem by this author asks “So how did someone like me get here?” and answers “My mind’s just not the same as yours.” The approximately 310 poems attributed to this author describe farming and studying the classics before making a life change and writing pieces like “People Ask the Way.” Jack Kerouac (*) dedicated The Dharma Bums to this poet at the same time that influential translations of this poet appeared with Riprap in Gary Snyder’s first collection.
,,
311 poems,,"Marie von Thurn und Taxis was the dedicatee of Rainer Maria Rilke’s Duino Elegies, the first of which asks, “Have you studied [this 16th century Italian poet] sufficiently yet?” This poet wrote 311 poems, many of which were about her relationship with Collaltino di Collalto."
,,
312 AD,,Constantine defeated Maxentius at this 312 battle after having a vision instructing him to put crosses on his army's shields.
,,
313 CE,,"For 10 points, name this city of St. Ambrose, where Emperor Constantine issued a 313 edict legalizing Christianity in the Roman Empire."
,,
314 AD,,Donatism was officially quashed by the Church at this non-ecumenical council called by Constantine in 314 that declared that the religious actions of traditores were still valid and also saw the approval of Caecilian as bishop of Carthage.
,,
315 feet,,"For 10 points, name this thirty-seven foot tall structure located a mere 315 feet from home plate at ."
,,
316 ships,,It arose from an attempt to reconcile the seizure of 316 ships and the relentless campaigning against and British vessels by Edmond Genet as well as other issues emanating from the Quasi War.
,,
317 sonnets,,"This collection’s Sonnet 90, “Upon the breeze she spread her golden hair,” shifts to discuss divine themes, saying “She did not walk in any mortal way, / But with angelic progress.” This collection about an Italian poet’s often obsessive love for Laura contains 317 sonnets."
,,
318 fathers,,That work is framed as a debate between 318 fathers at the council of Nicea beating “Of what doth the Glory of Kings consist?” The only wholly extant manuscript of the Book of Enoch is in this language.
,,
319 miles per hour,,"The 1999 Bridge Creek–Moore tornado officially achieved a wind speed of 301 miles per hour, although speculation that it exceeded 319 miles per hour would classify it as this number on the original Fujita scale."
,,
320 colleagues,,Fifty people received prison sentences for this crime following an incident at Mare Island in which they refused to return to work shortly after an explosion that killed 320 of their colleagues.
,,
321 BCE,,"In this 321 BCE battle the Samnites trapped a Roman army in a ravine, forced them to surrender, and proceeded to humiliate them by making the soldiers pass under a yoke of spears."
,,
322 pages,,The narrator of this work recalls digging through the flooded Palace of Justice to recover 322 pages of a brief.
,,
323 covers,,Norman Rockwell painted 323 covers for this publication.
,,
324 BCE,,Name this leader who urged his mutinous soldiers to take his 324 BCE speech at Opis as a “symbol of love” during his namesake oath.
,,
"Index: 12, Asteroid 235",,
,,
326 BC,,"For 10 points, what 326 BC campaign featured a Macedonian winning the Battle of the Hydaspes River?"
,,
327 people,,"This country, the home of the Stasi secret police, built the 96 mile long “Anti-Fascist Protection (*) Wall,” part of which included the “death strip” and led to the deaths of 327 people escaping to its western neighbor."
,,
328 people,,"In the deadliest ever soccer stadium disaster, at least 328 people were killed in the Estadio Nacional in this capital city during a qualifier for the 1964 Olympics."
,,
330 years,,"Objects in 1:2 resonance with this body have an orbital period of about 330 years and are classified as “twotinos,” while objects with 1:1 resonance are its namesake “trojans.” Storms on this planet include the Scooter and the Great Dark Spot."
,,
"Index: 7, 331 deaths",,
